Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
389000.0,7564.0,60493909,wtorny,Krzyki,51.43,3,3,1.0,https://www.otodom.pl/oferta/3-pokojowe-z-ogrodkiem-gotowe-do-wprowadzenia-sie-ID45Ped.html#1f999542e1
1184155.0,11500.0,60523817,pierwotny,Śródmieście,102.97,4,2,2.0,https://www.otodom.pl/oferta/apartament-z-tarasem-z-pieknym-widokiem-na-odre-ID45X0B.html#1f999542e1
448116.0,7290.0,60525481,pierwotny,Fabryczna,61.47,3,3,1.0,https://www.otodom.pl/oferta/sloneczne-3pokoje-z-balkonem-12-5m2-system-smart-ID45Xrr.html#1f999542e1
354999.0,7577.0,60533523,wtorny,Fabryczna,46.85,3,10,9.0,https://www.otodom.pl/oferta/okolice-klodnickiej-3pok-47m2-nowa-winda-ID45Zx9.html#1f999542e1
819000.0,7375.0,60533640,wtorny,Fabryczna,111.05,6,3,1.0,https://www.otodom.pl/oferta/wyjatkowe-6-pokoi-z-mozliwoscia-podzialu-na-2-m-ID45Zz2.html#1f999542e1
415900.0,10269.0,60533827,wtorny,Krzyki,40.5,2,4,,https://www.otodom.pl/oferta/apartament-na-prestizowym-osiedlu-lux-0-prowizji-ID45ZC3.html#1f999542e1
348876.0,6583.0,60528985,pierwotny,Fabryczna,53.0,3,4,3.0,https://www.otodom.pl/oferta/wrocilo-gotowe-3-pokoje-z-rabatem-az-21-594-pln-ID45YlX.html#1f999542e1
365000.0,7604.0,60533729,wtorny,Psie Pole,48.0,2,10,7.0,https://www.otodom.pl/oferta/mieszkanie-48-m2-ul-rowerowa-ID45ZAt.html#1f999542e1
399913.0,7879.0,60533520,pierwotny,Krzyki,50.76,3,3,1.0,https://www.otodom.pl/oferta/klecina-rzeka-park-tramwaj-gotowe-ID45Zx6.html#1f999542e1
610000.0,9839.0,60533477,wtorny,Śródmieście,62.0,3,7,,https://www.otodom.pl/oferta/ogrody-reja-ID45Zvp.html#1f999542e1
575824.0,10134.0,60529321,pierwotny,Śródmieście,56.82,3,6,2.0,https://www.otodom.pl/oferta/srodmiescie-sloneczne-3-pokoje-z-balkonem-7-11m2-ID45Yrn.html#1f999542e1
558956.0,8790.0,60529698,pierwotny,Śródmieście,63.59,3,6,5.0,https://www.otodom.pl/oferta/sloneczne-3-pokoje-z-balkonem-10m2-na-srodmiesciu-ID45Yxs.html#1f999542e1
519999.0,6980.0,60533524,wtorny,Fabryczna,74.5,3,4,,https://www.otodom.pl/oferta/okolice-pionierskiej-3pok-74-50m2-piwnica-17m2-ID45Zxa.html#1f999542e1
456808.0,8562.0,60529482,pierwotny,Krzyki,53.35,3,3,2.0,https://www.otodom.pl/oferta/3-pokoje-przy-parku-tramwaje-system-smart-ID45YtY.html#1f999542e1
310000.0,8978.0,60527996,pierwotny,Fabryczna,34.53,2,,4.0,https://www.otodom.pl/oferta/m-na-juz-z-tarasem-na-4-pietrze-8min-magnolia-ID45Y60.html#1f999542e1
