Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
427000.0,8877.0,60475096,4,2,2.0,48.1,wtorny,Krzyki,https://www.otodom.pl/oferta/piekne-2-pok-na-ul-pieknej-gotowe-do-wprowadzenia-ID45KkM.html#ac18fbd7cc
452949.0,8447.0,60532977,3,3,3.0,53.62,pierwotny,Krzyki,https://www.otodom.pl/oferta/nowe-przy-rzece-balkon-duzy-rabat-tramwaj-ID45Zol.html#ac18fbd7cc
490000.0,10652.0,60451844,4,2,1.0,46.0,wtorny,Krzyki,https://www.otodom.pl/oferta/piekne-mieszkanie-ID45EhK.html#ac18fbd7cc
1184155.0,11497.0,60533201,3,4,2.0,103.0,pierwotny,Śródmieście,https://www.otodom.pl/oferta/gotowe-2-pietrowe-taras-balkon-nad-rzeka-srodmiesc-ID45ZrX.html#ac18fbd7cc
599000.0,6965.0,60532995,5,3,4.0,86.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/mieszkanie-86-m-wroclaw-ID45ZoD.html#ac18fbd7cc
2650000.0,13054.0,60437555,1,5,1.0,203.0,pierwotny,Fabryczna,https://www.otodom.pl/oferta/luksusowy-nowy-samodzielny-apartament-wroclaw-ID45Azh.html#ac18fbd7cc
568000.0,7329.0,60466963,4,3,3.0,77.5,wtorny,Śródmieście,https://www.otodom.pl/oferta/rozkladowe-3-pokoje-balkon-piwnica-pl-grunwaldzki-ID45IdB.html#ac18fbd7cc
446551.0,6700.0,60532975,3,3,3.0,66.65,pierwotny,Fabryczna,https://www.otodom.pl/oferta/dwa-poziomy-klucze-do-odbioru-garaz-komorka-ID45Zoj.html#ac18fbd7cc
249900.0,7596.0,60505016,3,1,1.0,32.9,wtorny,Fabryczna,https://www.otodom.pl/oferta/nowy-dwor-kawalerka-w-otoczeniu-zieleni-balkon-ID45S7m.html#ac18fbd7cc
336000.0,8239.0,60532932,2,2,,40.78,pierwotny,Fabryczna,https://www.otodom.pl/oferta/2-pokoje-z-tarasem-i-ogrodkiemgotowefabryczna-ID45ZnC.html#ac18fbd7cc
328041.0,9225.0,60525130,3,1,3.0,35.56,pierwotny,Fabryczna,https://www.otodom.pl/oferta/apartament-inwestycyjny-wykonczony-plus-agd-ID45XlM.html#ac18fbd7cc
349000.0,9432.0,60476953,3,2,3.0,37.0,pierwotny,Krzyki,https://www.otodom.pl/oferta/nowe-gotowe-2-pok-klecina-dozynkowa-bezposrednio-ID45KOJ.html#ac18fbd7cc
249999.0,8618.0,60532883,4,1,,29.01,wtorny,Krzyki,https://www.otodom.pl/oferta/krzyki-gotowa-kawalerka-z-ogrodkiem-okazja-ID45ZmP.html#ac18fbd7cc
630000.0,8289.0,60426640,2,4,2.0,76.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/wroclaw-sepolno-ID45xJe.html#ac18fbd7cc
399000.0,7793.0,60532814,4,2,4.0,51.2,wtorny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-wroclaw-kuzniki-ID45ZlI.html#ac18fbd7cc
259717.0,7623.0,60532884,4,2,,34.07,pierwotny,Krzyki,https://www.otodom.pl/oferta/krzyki-okazja-2-pokoje-z-ogrodkiem-2020r-ID45ZmQ.html#ac18fbd7cc
425935.0,7540.0,60532784,2,3,,56.49,pierwotny,Fabryczna,https://www.otodom.pl/oferta/3-pokoje-taras-ID45Zle.html#ac18fbd7cc
410000.0,12930.0,60450024,8,1,7.0,31.71,wtorny,Fabryczna,https://www.otodom.pl/oferta/sprzedam-nowe-gotowe-mieszkanie-legnicka-magnolia-ID45DOo.html#ac18fbd7cc
