Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,URL
437000.0,9500.0,60452779,10,3,2.0,46.0,https://www.otodom.pl/oferta/2km-od-rynku-komfortowe-3-pok-ID45EvP.html#ac18fbd7cc
624227.82,7797.0,60475970,4,5,Brak danych,80.06,https://www.otodom.pl/oferta/5-pokoi-nad-odra-monitoring-1-q-2020-ID45KyS.html#ac18fbd7cc
369990.0,5662.0,60475968,2,3,Brak danych,65.35,https://www.otodom.pl/oferta/3-pokoje-na-kielczowie-dla-rodziny-65-35m2-ID45KyQ.html#ac18fbd7cc
451850.0,7330.0,60475958,3,3,1.0,61.64,https://www.otodom.pl/oferta/duze-rabaty-inwestycja-300m-od-tramwaju-ID45KyG.html#ac18fbd7cc
395517.0,6628.0,60476040,4,3,3.0,59.67,https://www.otodom.pl/oferta/krzyki-pelny-rozklad-gotowe-do-odbioru-balkon-ID45KA0.html#ac18fbd7cc
433964.0,8900.0,60475959,3,3,2.0,48.76,https://www.otodom.pl/oferta/na-dobry-poczatek-petla-tramwajowa-klecina-ID45KyH.html#ac18fbd7cc
795000.0,8457.0,60377225,2,4,Brak danych,94.0,https://www.otodom.pl/oferta/sprzedam-nowe-mieszkanie-94-m-wroclaw-wojszyce-ID45kSd.html#ac18fbd7cc
594856.0,7990.0,60475956,3,4,Brak danych,74.45,https://www.otodom.pl/oferta/nowosc-duzy-apartament-z-pieknym-ogrodem-ID45KyE.html#ac18fbd7cc
506303.0,8075.0,60475962,5,3,Brak danych,62.7,https://www.otodom.pl/oferta/zachodni-wroclaw-15-min-do-magnolii-ID45KyK.html#ac18fbd7cc
332517.0,7049.0,60476042,4,2,2.0,47.17,https://www.otodom.pl/oferta/krzyki-pelny-rozklad-gotowe-do-odbioru-balkon-ID45KA2.html#ac18fbd7cc
445000.0,6181.0,60476022,8,4,Brak danych,72.0,https://www.otodom.pl/oferta/4-pokoje-nowy-dwor-balkon-inwestycja-od-zaraz-ID45KzI.html#ac18fbd7cc
512850.0,9750.0,60475961,4,3,3.0,52.6,https://www.otodom.pl/oferta/wygodne-mieszkanie-na-poludniu-wroclawia-ID45KyJ.html#ac18fbd7cc
435200.0,7452.0,60475966,2,3,Brak danych,58.4,https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-w-poblizu-ch-korona-ID45KyO.html#ac18fbd7cc
309666.0,7300.0,60475957,3,2,2.0,42.42,https://www.otodom.pl/oferta/wygodne-mieszkanie-dla-pary-wysoki-standard-ID45KyF.html#ac18fbd7cc
419517.0,6915.0,60476041,4,3,4.0,60.67,https://www.otodom.pl/oferta/jagodno-gotowe-okazja-rabaty-nowe-ID45KA1.html#ac18fbd7cc
299990.0,4809.0,60475967,2,3,2.0,62.38,https://www.otodom.pl/oferta/62-38m2-3-pokoje-kielczow-niska-zabudowa-ID45KyP.html#ac18fbd7cc
383520.0,7050.0,60475964,3,3,2.0,54.4,https://www.otodom.pl/oferta/oporow-jasne-mieszkanie-dla-rodziny-ID45KyM.html#ac18fbd7cc
489000.0,5382.0,60475944,5,4,4.0,90.86,https://www.otodom.pl/oferta/duze-jedno-lub-dwa-oddzielne-srodmiescie-ID45Kys.html#ac18fbd7cc
377000.0,6981.0,60475939,10,3,2.0,54.0,https://www.otodom.pl/oferta/wyremontuj-pod-siebie-rozklad-wirtualny-spacer-ID45Kyn.html#ac18fbd7cc
307028.0,6590.0,60475936,3,3,2.0,46.59,https://www.otodom.pl/oferta/najtansze-na-rynku-duza-promocja-okazja-ID45Kyk.html#ac18fbd7cc
451844.0,7100.0,60475937,3,3,1.0,63.64,https://www.otodom.pl/oferta/gotowe-bez-czekania-przestronne-rabaty-ID45Kyl.html#ac18fbd7cc
359000.0,7638.0,60475933,11,2,1.0,47.0,https://www.otodom.pl/oferta/zielony-zakatek-na-kozanowie-ID45Kyh.html#ac18fbd7cc
869000.0,4138.0,60475934,2,7,Brak danych,210.0,https://www.otodom.pl/oferta/4-1-0-0-zl-m2-s-z-e-r-e-g-we-wroclawiu-ID45Kyi.html#ac18fbd7cc
359000.0,7676.0,60409943,10,2,8.0,46.77,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-po-remoncie-duzy-balkon-pi-ID45tnW.html#ac18fbd7cc
361000.0,6942.0,60475889,3,3,2.0,52.0,https://www.otodom.pl/oferta/ustawne-3-pokoje-w-spokojnej-okolicy-nowe-ID45Kxz.html#ac18fbd7cc
799000.0,8237.0,60243346,2,4,2.0,97.0,https://www.otodom.pl/oferta/maslice-mieszkanie-z-tarasem-idealne-dla-rodziny-ID44M2S.html#ac18fbd7cc
480000.0,5010.0,60475885,1,4,Brak danych,95.8,https://www.otodom.pl/oferta/zobacz-w-360-gotowe-park-radwanice-ID45Kxw.html#ac18fbd7cc
359000.0,6527.0,60475894,3,3,2.0,55.0,https://www.otodom.pl/oferta/osobna-kuchnia-z-oknem-sloneczne-mieszkanie-ID45KxE.html#ac18fbd7cc
739000.0,5062.0,60335696,2,5,1.0,146.0,https://www.otodom.pl/oferta/willove-wojszyce-146-m2-5-pokoi-30m2-taras-ID45a4o.html#ac18fbd7cc
549000.0,7411.0,60422327,4,3,1.0,74.08,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-74-m2-z-widokiem-na-park-ID45vBF.html#ac18fbd7cc
545000.0,6646.0,60415653,4,4,1.0,82.0,https://www.otodom.pl/oferta/mieszkanie-4-pokojowe-82-m2-na-gadowie-1-pietro-ID45uS1.html#ac18fbd7cc
319000.0,6935.0,60475891,3,2,3.0,46.0,https://www.otodom.pl/oferta/rozkladowe-2-pokoje-z-balkonem-nowe-osiedle-ID45KxB.html#ac18fbd7cc
525000.0,7198.0,60408263,2,3,1.0,72.94,https://www.otodom.pl/oferta/rodzinne-osiedle-zielona-okolica-ID45sVP.html#ac18fbd7cc
